"ENTREZID","logFC"
236312,-0.027708189
258711,0.249501294
258716,0.59458265
76816,0.081229952
78825,0.169489552
226744,-1.306139034
72568,0.230219755
170760,-0.236104518
98417,0.090077144
67330,-0.125924327
53791,0.368174291
21339,0.111046706
387189,-0.119282951
107508,0.262835883
26381,0.964371794
19250,0.211198417
100504360,-0.546929888
66950,-0.388774362
77065,-0.366378259
226856,-0.613513179
16510,0.096554263
16780,-0.028856037
18845,0.357201374
100628615,0.981295305
12490,-0.362812948
20671,0.592643454
73824,0.073128988
266793,-0.159782575
100039596,1.022592446
14048,0.629794008
57339,0.756688624
226922,0.198646439
70155,-0.179598165
68002,-0.910755701
19076,-0.096384995
213539,0.012637459
69668,-0.185323468
214469,-0.034658823
214854,-0.395944444
78321,0.727148168
269181,0.33024031
77633,0.335275269
98258,-0.702901538
16764,-0.247580118
100217461,-0.250088047
211798,-0.259262804
66297,0.184834828
53945,-0.810324975
109019,0.061491787
16329,-0.466696938
626009,-0.088975721
212712,0.160577568
51960,-0.494746419
213056,-0.443734601
108812,1.038913787
70827,0.015689194
57750,-0.356600033
14367,0.317172739
70861,0.340237164
15926,-0.148640943
68691,0.050292565
17901,-0.100030884
13869,0.764959273
22779,-0.54107083
381269,-0.762591992
111175,0.158673369
16011,0.312751779
21961,0.371252881
77264,-0.253362491
57751,-0.042579967
241113,0.190965992
260298,0.048975897
723900,0.19423378
74104,0.103381127
22145,0.44831526
100503248,0.501613553
13838,-0.77208204
23874,0.102578358
269211,-0.995267665
252903,-0.522499094
105243964,-0.715044128
80721,0.284961463
98496,0.334567625
102634967,0.185623672
17975,-0.01046447
100303740,-0.336328889
80828,-0.587430513
18582,-0.193635412
19329,0.286407953
258228,0.102575356
18566,0.473051144
20452,-0.418330162
635504,0.41355661
70750,-0.633826742
68204,0.098159132
66343,-0.639530101
170706,-0.34319297
68428,-0.000524115
66942,-0.113660369
226409,-0.02398093
12767,-0.169721488
17164,-0.263196768
56489,-0.135063304
18557,0.420322976
381290,-0.45493689
12227,0.627832799
11539,0.863569281
57439,-0.361621673
329252,-0.962880588
215615,-0.091209032
