"ENTREZID","logFC"
66109,-0.823653037
112407,1.646221622
72183,-0.685876189
217578,-0.594555119
70611,-1.026808461
30795,0.592670715
109711,0.797867292
18654,1.619530671
217716,-1.406244633
102638940,0.568074547
74251,-1.168725695
12709,0.583419923
16059,-2.05655395
195176,-1.650304805
629826,-1.294306604
102642252,-0.991851337
16061,-3.186188612
382692,-1.016754684
780931,-1.21599298
16019,-1.658221084
19166,-1.095400695
319181,-0.988159474
50708,-1.221565799
102640991,-1.315492935
100628630,0.657859509
218203,-0.466800146
66355,-0.519248142
18081,0.730234321
26919,-0.63949838
100316804,1.201883058
72948,-0.7197981
66475,-1.350285136
382793,-0.599075315
218506,-0.581177483
76041,-0.648534895
75616,-0.727015493
74559,0.873610922
13557,1.120288435
69123,-2.434785571
208366,0.855798034
54326,0.890531437
18003,-0.614324205
105193,-1.103571106
69085,-0.507692913
218441,-0.519700894
66549,-0.507907629
14062,-1.142814631
380863,0.852118473
19356,-0.50667045
71704,-0.488106806
23955,-0.880400018
70021,0.636876429
11752,-2.022022166
105450,-0.680617471
16709,0.52928679
12050,-1.130169651
277154,-0.711988576
71330,-0.539167427
239126,-0.984495586
16554,-0.57110391
380912,0.920875774
67168,-0.58145839
211286,-0.453904004
100504200,0.750622362
268709,0.525486647
432825,0.865630811
71918,-0.625528176
320234,-0.643237875
70045,0.68500785
102634269,0.639915165
102634304,0.901367968
114874,0.665692854
50934,0.989366771
56532,0.69511949
14137,0.631481662
14365,-0.882948148
12934,-0.914403516
13134,-0.817348502
210789,0.691515904
66200,-0.849595494
13618,0.728609513
13132,0.970272889
381002,-1.646195011
73339,-1.894002682
11732,0.517534227
68073,-0.845628166
69659,-1.186898552
105853,-1.325073242
17869,1.501161107
223669,-0.9245614
117171,-0.691881108
12983,1.054867061
14958,-1.013173712
66346,0.685397716
14375,0.655124067
223773,-0.739312633
76737,-1.003678996
100532730,1.023825513
15425,-1.37972589
15424,-0.798466962
106052,-0.490634639
18162,-1.213533537
68839,-0.470180785
223513,2.824728904
17988,0.782026652
328561,-0.908961092
17886,0.861207959
17305,-0.743180248
105844,-0.90401178
223690,-0.533441968
106042,-0.851473242
239652,-0.658085527
22230,-0.554271256
239833,-0.699826774
387229,1.022936627
70967,1.158811622
15975,-0.424085134
109857,-0.516568267
170765,-0.627581534
71446,-0.856383828
11515,0.491553138
66690,-0.552683807
56722,0.652142931
74108,0.619820795
70458,-1.739892622
64136,-0.651131452
74685,0.905801915
16142,-2.562372776
110612,-2.331249406
66664,-0.641269451
71756,-0.929752569
268882,-0.540998948
72599,-0.559502617
70186,-0.68051416
85031,-0.615009248
17470,-1.026824929
52575,-0.593193855
54613,0.554822391
667114,0.747914733
224523,1.102506368
20518,0.713020449
74149,-0.76591883
106707,-0.849608599
69431,0.51231744
240055,-0.970305623
18712,-1.09927647
224697,-1.05592148
224796,-0.405833908
73836,-0.737579544
224824,0.400100062
56771,-0.567676708
17158,0.520769775
64898,-0.689846742
72515,0.549554275
240168,-1.037238857
53951,-0.680284177
